,title,description,title_label,description_label
10,애경그룹 홀딩스 대표이사에 고준 플라자 대표,그는 년 월 코로나 팬데믹 전염병의 세계적 대유행 영향으로 어려움에 부닥쳐 있던 플라자 대표이사로 옮겨 홍대점의 변화를 이끌었다는 평가를 받는다 플라자 대표이사에는 이강용 플라자 ,1,1
11, 개시 년 만에 까지 섭렵 홍콩서 기회 찾는다 인터뷰 ,그는 아시아 상장을 노리는 해외 대형 기업들이 주로 찾는 만큼 홍콩은 금융허브로서 지위를 갖췄다 며 물론 코로나 등을 거치며 시장이 조원에서 조원 규모로 줄긴 했지만 올해 조원이상 확장할 ,1,1
12,안양 향토기업 노루페인트 소외이웃에 배추 기부, 코로나 시기에는 쌀도 기부했다 노루페인트 관계자는 배춧값 폭등에 김장을 포기하는 안양 가구가 늘어난다는 소식을 들어 이번 나눔을 기획했다 며 상생문화가 지역사회로 확산하도록 노력하겠다 고 말했다 ,1,0
13, 교실 창가에서 사회정서교육의 성공적인 학교 정착을 기대하며, 코로나 라는 사회적 팬데믹 이후 그 속도가 가속화되고 있으며 이는 우리 사회의 많은 변화를 가져왔다 이는 코로나 이후 학생들의 사회정서 위험 지표가 점차 심각해지는 현상에 대한 의미 있는 정책으로 ,1,1
14,안산시 이민근 시장 중국 옌타이시 대표단 접견 우호 협력 논의,양 도시 간의 이번 대면 만남은 코로나 펜데믹 이후 처음으로 이루어졌다 앞서 지난 년부터 총 일곱 차례의 청소년 국제문화교류사업을 추진 양 도시 청소년들의 글로벌 비전 향상을 위한 현지 청소년 교류 및 역사 ,1,0
15,익산시의회 이종현 의원 영세 소상공인 생존권 보호에 앞장서,이종현 의원은 코로나 이후 고물가 고금리 등 감당하기 어려운 부담에 직면한 영세 소상공인들의 열악한 경영환경에 조금이나마 도움을 드리기 위해 조례를 개정하게 됐다 고 조례안 개정 배경을 밝혔다 ,1,1
16,청주 옥산면 웨딩홀 경매 회 유찰,하지만 코로나 로 인한 인력난 건설 자재 수급 지연 등에 따라 준공은 수차례 지연됐고 결국 멈춰섰다 당시 웨딩홀 측은 건립 지연에 따른 식장 예약 취소로 신혼부부들이 혼란을 빚기도 했다 현재 해당 건물은 ,0,1
17,애경그룹 홀딩스 대표이사에 고준 플라자 대표 선임,그는 지난 년 월 코로나 팬데믹 영향으로 어려움에 부닥쳐 있던 플라자 대표이사로 옮겨 홍대점의 변화를 이끌었다는 평가를 받는다 플라자 대표이사에는 이강용 플라자 상품본부장이 신규로 ,1,0
18, 지배구조모니터 관계사 자금이동 활발 오너 세 수혜 , 코로나 대유행에 따른 해운업 호황에 힘입어 영업이익이 급증 부담은 줄었으나 시중금리 상승에 차입 이자 규모는 커졌다 시노코페트로의 지난해 이자 비용은 억원으로 전년 대비 증가했다 영업이익 상승 ,0,1
19,내수 부진 장기화에 판매직 종사자 만 명 감소, 코로나 유행 당시 수준으로 회귀한 것인데 특히 청년층에 집중돼 또 다른 고민을 낳고 있다 일 통계청 국가통계포털에 따르면 올해 월 월평균 판매종사자는 만 명으로 전년 동기 대비 만 명 ,0,0
20, 세계 제조업 보조금 년 새 배 증가 직접 지원 필요 , 코로나 전후 년을 비교해보면 코로나 이전 년간 억달러에서 이후 년간 조 억달러로 배 증가했다 제조업 보조금을 가 분류한 세부 유형별로 분석한 결과 지난 년간 정부대출 이 억달러 ,1,0
21, 경영지원 대표에 허민회 내정 연말인사 임박, 코로나 여파로 가 경영난을 맞자 허 대표는 년 월 대표로 투입 영화관 체질 개선에 나섰다 그룹의 이번 정기 임원 인사는 소폭일 것으로 전망된다 작년에는 실적 부진 속에 해를 넘겨 올해 ,1,0
22,재개발 재건축사업 기회인가 위기인가 ,그리고 코로나 이후부터 지금까지의 수도권 아파트 공급상황과 건설경기 악화 상황을 보면 수년 후 또다시 공급 부족에 따른 아파트 가격 폭등이 올 수 있다는 예측이 공공연히 거론된다 그렇다면 이러한 시기에 재개발 ,0,0
23, 년 우정 되새기며 미래로 나아가자 ,이번 행사는 코로나 이후 두 도시 간 첫 대면 교류로 양 도시의 우정을 되새기고 미래 협력 방안을 논의하는 자리였다 환영식은 두 도시의 교류 역사를 되돌아보며 오랜 우정을 확인했고 기념식은 비전을 공유하며 미래 ,1,1
24,한국생활용품협동조합 알파오메가 출범 소상공인 플랫폼,배명호 이사장 사진 한국생활용품협동조합 이번 플랫폼은 코로나 와 경기 침체로 어려움을 겪는 소상공인들의 자구책으로 월 말 현재 여 개 업체가 이미 참여를 확정했다 알파오메가 는 공동 구매와 독자 ,1,1
25,거창군 가조면 도리 개 마을 경로 위안잔치 개최,특히 도리는 과거 구 청년회가 주관하는 형제계 활동을 통해 경로잔치를 운영해 왔으나 코로나 로 인해 수년간 중단되었다가 마을 이장과 주민들의 뜻을 모아 이번 행사를 재개했다 도리는 예로부터 주민 간 소통과 ,0,1
26, 년 우정 기념하며 미래 협력 강화 다짐, 코로나 이후 첫 대면 교류로 이뤄진 이번 기념식에서 두 도시는 비전을 공유하며 미래 협력 방향성을 논의했다 숨골공원에서 진행된 기념식수 행사에서는 우정의 등나무 를 심으며 지속적인 협력의 상징을 세웠다 ,1,1
27, 백신 불신론자 장관 임명 후폭풍 바이오 대장 약세,케네디 주니어는 코로나 팬데믹 이전부터 소아 백신 사용이 자폐증 등을 유발한다고 주장하고 언론 인터뷰에서 안전하고 효과적인 백신은 없다 고 말하는 등 대표적인 백신 불신론자로 꼽힌다 케네디 ,0,1
28,양산시 겨울철 독감 코로나 예방접종 집중 홍보, 코로나 예방접종의 경우 대상자의 범위가 기존 세 이상 어르신 면역저하자 감염취약시설 입원 이며 코로나 예방접종은 어르신 명 이 접종을 완료했으나 평년 대비 높은 기온 여파로 독감 ,0,0
29,하나투어 비자신청센터 개소 주년 기념 워크샵 진행,하나투어는 년 이후 중단되었던 워크숍을 올해 재개했으며 코로나 이후 활발한 영업 활동으로 특히 이번 우수사원들은 코로나 확산이라는 어려운 시기에도 성실하게 근무한 공로를 높게 평가받았다 ,0,1
30, 항 필 제 사 항생제는 필요할 때만 제대로 사용해요 ,세계보건기구 는 년 항생제 내성을 인류가 당면한 대 공중보건 위협으로 선정했고 코로나 이후 또한 세계보건기구는 올해 월 세계적으로 코로나 팬데믹의 영향으로 많은 항생제가 사용됐음을 보도하며 ,0,1
31,소아청소년병원 입원환자 가 감염환자,소아청소년병원 입원환자 명 중 명이 마이코플라즈마 폐렴 코로나 아데노바이러스 등 소아감염질환 최용재 소아청소년병원협회 회장 의정부튼튼어린이병원장 은 코로나 이전에는 입원실 감염환자와 ,0,0
32,대한캠핑장협회 캠핑산업 벤치마킹 일본연수과정 제 기 연수생 모집, 코로나 펜데믹 이후 국민여가관광산업으로 각광을 받게 된 캠핑관광산업이 새롭게 떠오르는 창업 아이템으로 부각되면서 캠핑장창업의 뜨거운 열풍이 불었고 현재는 전국 여 캠핑장이 성업을 이루고 있다 하지만 ,0,1
33, 그룹 임원 인사 임박 허민회 지주사 대표 내정, 코로나 여파로 가 경영난에 처하자 허 대표는 년 월 대표이사로 투입돼 영화관 체질 개선에 나섰다 한편 이날 그룹 정기 임원 인사는 소폭일 것으로 예상된다 ,1,0
34, 인가구 는 인 생활에 만족 가장 큰 걱정거리는 ,이는 코로나 이후 방역 지침이 완화되면서 일상생활과 여행 등이 자유로워진 데 따른 영향으로 해석된다 인생활 걱정거리 자료 경영연구소 경영연구소는 지난 월 일부터 일간 전국 주요 도시에 개월 ,0,1
35,제자리 찾아가는 이스타 여객 수 톱 위협,앞서 이스타항공은 코로나 팬데믹이 항공업계를 덮쳤을 당시 경영난으로 기업회생 절차에 들어갔다 이후 사모펀드 파트너스에 인수되며 지난해부터 항공운항증명 를 재발급받고 다시 비행기를 띄울 수 ,0,1
36,한일불교문화교류협 여성부 제 차 교류 무 오이 김치로 화합 담 , 코로나 펜데믹 시기를 제외하고 매년 꾸준히 양국을 오가는 교류를 이어왔으며 올해로 차를 맞이했다 또 역시 코로나 거리 두기 제한 시기를 제외하고 올해까지 년째 이어져 왔다 올해 초 월 일에는 부산 ,0,1
37,한국 항생제 오남용 경보 항생제 부적절 처방 약 ,항생제 내성의 심각성은 코로나 이후 부각됐다 세계보건기구 는 지난 월 코로나 입원환자 중 항생제가 필요했던 환자는 였지만 환자의 가 항생제를 처방받았다고 보고했다 는 코로나 이후 항생제 ,1,0
38, 파트너스 일 일본 도쿄서 연차총회 개최, 년 상해 년 서울 년 도쿄에서 개최했고 년과 년에는 코로나 팬데믹 때문에 온라인 화상회의로 진행됐다 년과 년에는 서울에서 개최됐다 연차총회에선 파트너스의 주요 투자 및 회수 ,0,1
39,경남 최고 알짜 항로 매물도행 여객선 또 운항 중단 왜 , 코로나 팬데믹 후유증을 좀처럼 벗어나지 못하고 있다 설상가상 수지 개선을 위한 고육책조차 허가청 하지만 코로나 사태를 비껴가진 못했다 년 한해 만여 명에 달했던 수송인원은 코로나 가 창궐한 년 ,1,0
40, 코로나 후유증 만성피로 보중익기탕 치료효과 확인,보중익기탕이 코로나 후유증 개선에 효과가 탁월하다는 연국결과가 나왔다 한국한의학연구원 이하 만성 코로나 증후군을 완화하는 학약재를 개발했다고 일 밝혔다 이번 연구는 만성 코로나 증후군으로 ,0,0
41,중기중앙회 카카오뱅크 노란우산 가입대행 , 코로나 이후 내수경기 악화로 인해 폐업이 급증하는 등 소상공인들이 어려움을 겪는 가운데 이번 협약으로 보다 많은 소상공인이 카카오뱅크를 통해 노란우산에 가입할 것으로 기대된다 정윤모 중기중앙회 ,1,1
42, 김대호의 경제읽기 한국 원화 가치 주가 큰 폭 하락 약세 원인은 , 질문 이런 가운데 판매직 고용 상황이 코로나 수준으로 나빠진 걸로 나타났습니다 지난달까지 월평균 판매 종사자 수가 만 천 명으로 지난해 같은 기간보다 만 명 줄어들었는데 내수 부진 여파일까요 질문 ,0,0
43, 벼락거지 면하려다 진짜 거지 될 판 영끌족 백기, 코로나 팬데믹 당시 집값 상승으로 영끌 영혼까지 끌어모아 대출 을 통해 주택을 사들였던 젊은층이 고금리에 부담감을 느껴 다시 집을 판 것으로 분석된다 일 통계청이 발표한 년 ,0,1
44,영광군 야구소프트볼협회 고향사랑기부 동참,스포츠 메카 도시 위상을 드높이고자 무등기 야구대회 영광 한빛 리그 등 사회인 야구 대회를 유치해 생활체육 활성화에 기여하고 있는 영광군 야구소프트볼협회는 코로나 시기에는 만매의 마스크를 기탁하고 동해안 ,1,1
45,영광군 야구소프트볼협회 고향사랑기부 동참 했어요 ,스포츠 메카 도시 위상을 드높이고자 무등기 야구대회 영광 한빛 리그 등 사회인 야구 대회를 유치해 생활체육 활성화에 기여하고 있는 영광군 야구소프트볼협회는 코로나 시기에는 만매의 마스크를 기탁하고 동해안 ,1,1
46, 코로나 이후 최다 관람객 게임 축제 지스타 성료, 가 코로나 이후 역대 최다 관람객을 기록하며 성황리에 막을 내렸다 일 지스타조직위원회에 따르면 지스타 가 열린 나흘간 약 만 명의 방문객이 지스타 현장을 찾은 것으로 나타났다 지스타조직위원회는 ,0,0
47,디지털 시대에 현금 사용 권장하는 호주 수표는 년 이내 폐지,한편 전세계적으로 현금 사용이 코로나 팬데믹이 시작된 후 감소하고 있는 가운데 일부 유럽 국가에서는 특정 기업과 기관에서 지속적으로 현금을 수락하도록 의무화했다 미국과 뉴질랜드를 포함한 다른 나라들도 같은 ,0,1
48,나리타 공항에서 바라본 경제 엔화 약세에 인바운드 관광객 늘어 ,수는 코로나 가 발생하기 전인 년의 천 만 명을 넘어설 것이 거의 확실시된다 며 일각에서는 천 만 타무라 사장은 인바운드 관광의 반대편에는 엔화 약세가 역풍으로 작용하고 있다 며 또한 코로나 ,0,0
49,팬데믹 수준 고용 악화 내수 부진에 판매직 만 급감, 코로나 가 유행한 년과 비슷한 감소 폭으로 내수 부진 영향으로 해석된다 일 통계청의 올해보다 감소 폭이 컸던 해는 코로나 가 유행한 년 만 천명 과 년 만 천명 뿐이다 코로나 유행이 ,0,0
50,센터 앞마당에 모래놀이터 텃밭 꾸미는 데 힘 보태줬으면 , 코로나 이후 아이들이 혼자 지내는 시간이 길어지며 공동작업을 힘들어하고 실내 활동이 늘어나다 보니 운동량이 부족해지고 사소한 다툼이 잦아지는 등 여러 문제점들이 발생하고 있습니다 이에 아이들이 공동 활동과 ,0,1
51, 금융의 호랑이 이영종 신한라이프생명보험 편 영업수익 꾸준히 성장 ,지급여력비율의 산정 기준이 변경되고 코로나 부터 지속되던 금리 인상기조가 미국의 기준금리 하락 전환으로 끝남에 따라 한국도 금리를 인하하며 보험사의 이익에 어떠한 영향을 미칠지에 관심이 쏠리고 있다 ,1,0
52, 새로운 년 소상공인 성장사다리 구축할 것 ,이어 신용카드 수수료 인하 상가임대차 보호 소상공인 생계형 적합업종 특별법 제정과 코로나 피해 손실보상 소상공인기본법 제정에 이르기까지 소상공인 권익 보호를 위한 다양한 노력으로 소상공인들의 굳건한 ,1,1
53, 싸다고 자꾸 가더니 한일노선 승객수 만명 돌파 사상 최다 ,이는 또 종전 최고 기록인 코로나 사태 직전 년의 연간 한일노선 이용객 수 만명 까지 단 만 명만 남긴 것으로 월 승객 수를 합치면 최고 기록을 훌쩍 넘어설 것으로 관측된다 항공업계는 ,0,1
54, 바다거북이만 걱정일까,최근 자료를 찾아보니 코로나 팬데믹 이후 플라스틱 소비가 더 늘어 년 기준 인당 이라고 한다 세상이 더 나아질 것이라는 기대는 어쩌면 순진했다 예기치 않은 코로나 팬데믹이 발생했고 플라스틱 문제 ,0,0
55, 만병통치약 아닙니다 항생제 내성 오남용부터 막아야, 코로나 이후 전세계 항생제 사용이 증가함에 따라 항생제 내성 문제가 확대될 것을 우려해 최근 국제사회에서도 각국의 항생제 내성 예방관리 강화를 촉구하고 있다 특히 올해 월에 열린 총회에서는 항생제 ,0,1
56,전남대 환경관리직 노조 폐지 모아 년째 장학금 기부,십시일반 모은 성금을 더해 년째 기부를 이어오고 있다 특히 코로나 가 한창이던 년에는 학생 사랑 생활지원금 모금 캠페인 에 백만 원을 추가로 기부하는 등 학비 부담이 힘겨운 학생들을 돕는데 앞장서 왔다 ,1,1
57,판매직 고용 뚝 청년층 직격탄 정부 고용목표 달성 적신호 ,고용이 코로나 팬데믹 기간 수준으로 악화된 것으로 나타났다 특히 올해 판매직 고용은 전년보다 약 이는 차 표준직업분류 기준이 적용된 년 이후 월 기준 번째로 큰 감소 폭이며 코로나 가 ,0,0
58, 국민 중심 의료개혁 연대회의 공식 출범 국민 중심으로 한국의 ,연대회의는 저출생 초고령화 와 같은 인구 구조의 문제 코로나 를 거치며 크게 문제시되고 있는 기후재난 그리고 지역소멸 대응을 위해 어느 때보다 우리 의료체제에 대한 근본 변화가 필요하다는 목소리가 높아지고 ,1,1
59,생계난 내몰린 주민들 눈물 머금고 도시 농촌으로,한편 소식통은 도시에는 여전히 하루하루 근근이 살아가는 주민 세대들이 많은데 대부분 자식이 농촌에서 평생 썩게 될 수도 있다는 우려에 악착같이 버티고 있다 며 요즘 상인들은 제발 코로나 이전으로 ,1,1
60, 진단 금융공기업 예금보험공사 안전한 금융의 파수꾼인가 문제 많은 , 코로나 의 영향을 고려하더라도 최근 연도의 활동 횟수는 여전히 매우 낮은 수준이다 기부 금액도 지속적으로 감소 추세를 보이고 있다 년 약 억원이었던 기부 금액이 년에는 약 억원으로 줄어들었다 ,1,0
61,대한캠핑장협회 캠핑산업 벤치마킹 일본연수과정 기 연수생 모집 중, 코로나 펜데믹 이후 국민여가관광산업으로 각광을 받게 된 캠핑관광산업이 새롭게 떠오르는 창업 아이템으로 부각되면서 캠핑장 창업의 뜨거운 열풍이 불었고 현재는 전국 여 캠핑장이 성업을 이루고 있다 이번 ,0,1
62,나무기술 정철 대표 중소기업 기술 경영 혁신대전서 장관 표창 수 ,특히 질병관리청의 코로나 확진자 데이터 분석 시스템 구축을 통해 공공 부문의 데이터 관리 기반을 마련하는 데 중요한 역할을 했다 또한 메타클라우드 기술을 적용한 스페로 는 멀티 및 하이브리드 ,1,0
63, 분기 연속 적자 롯데면세점 명 인력 감축,롯데면세점은 코로나 대유행 기간에 직격탄을 맞으면서 비용 절감을 위한 인원 감축에 들어갔다 롯데면세점이 불황을 겪는 이유는 코로나 대유행에 줄어든 면세 고객 수가 회복되지 않아서다 ,1,0
64, 무비 시혜와 권리 사이 장애인야학의 현주소를 조명하다,이야기 코로나 의료공백 정유엽군 아버지 어머니 가 평화 연습 에는 소성리 국가폭력의 시간들 이 수록되어 있다 원전 말고 사람 과 소성리 국가폭력의 시간들 은 옴니버스 전체 구성에서 각각 열고 닫는 ,0,1
65, 박주영 칼럼 소상공인 당면 이슈와 해결방안,특히 코로나 팬데믹 이후 회복이 더딘 상황에서 고금리로 인한 부담은 경영 환경을 더욱 어렵게 만들고 있다 이에 대한 대응책으로 금융지원을 확대하고 이자 부담을 경감해야 한다 즉 소상공인들에게 낮은 금리의 ,0,1
66,삼성 넘어선 하이닉스 굳건해지는 반도체 각 동맹 , 코로나 펜데믹 이후 반도체 수요 회복이 지연되면서 메모리 가격 역시 하락세로 돌아섰지만 하이닉스의 경우 메모리 반도체 업황 둔화에도 불구 연구를 위한 인력 확보 및 투자를 아끼지 않았던 것으로 ,1,0
67,대한캠핑장협회 캠핑산업 벤치마킹 일본연수과정 제 기 연수생 모집, 코로나 펜데믹 이후 국민여가관광산업으로 각광을 받게 된 캠핑관광산업이 새롭게 떠오르는 창업 아이템으로 부각되면서 캠핑장 창업의 뜨거운 열풍이 불었고 현재는 전국 여 캠핑장이 성업을 이루고 있다 이번 ,0,1
68,모바일 강국 변한다 게임산업 미래 엿본 지스타 , 코로나 이후 지독한 침체기를 겪은 게임사들은 서구권 진출을 위해 콘솔 게임에서 새 돌파구를 마련하는 모습이었다 를 통한 게임 개발 흐름도 본격화하고 있었다 흥행 열쇠 로 불리는 지식재산권 활용을 둔 ,0,0
69, 김진화 칼럼 중소기업 대출이 부실뇌관 상생금융 축소하는 금융권,그마저도 코로나 소상공인 지원 대출을 제외하면 눈에 띄는 상품은 보증료의 를 지원하는 코로나 이후 일시적으로 어려움을 겪고 있는 중소기업 소상공인 차주를 외면하면 단기적으로 건전성을 개선할 수 ,0,0
70,내년 호텔 매매시장 커진다, 코로나 시대를 거치면서 호텔 매매가 크게 늘어났다 올해 호텔 실적이 크게 증가했지만 코로나 등 외부요인에 크게 영향을 받는 호텔의 불안정한 경영에서 벗어나기 위해 기업들이 매각을 결정한 것으로 보인다 ,1,1
71, 더벨 하나캐피탈 인니 리테일 영업 확대 드라이브 ,시나르마스하나파이낸스는 코로나 팬데믹으로 정상적인 소매금융 영업이 사실상 불가능했다 그러나 년 초 군부 쿠데타가 발생했고 코로나 팬데믹도 겹치면서 이중고를 겪었다 인도네시아법인과 마찬가지로 ,0,1
72, 개월 만에야 내수회복 철회한 기획재정부 경기전망,않는 비경제활동 청년층이 크게 늘고 있는 것이다 지난 달 쉬었음 청년은 만 명으로 년 전보다 만 명 증가했다 월 기준으로 볼 때 코로나 위기였던 년 이후 년 만에 최대 규모다 성홍식 기자,0,0
73,전남대 환경관리직 노조 폐지 모아 년째 기부,특히 코로나 가 한창이던 년에는 학생 사랑 생활지원금 모금 캠페인 에 백만 원을 추가로 기부하는 등 학비 부담이 힘겨운 학생들을 돕는데 앞장서 왔다 김미정 지회장은 환경관리를 하며 힘들 때도 있지만 ,1,1
74,한의대에 안부를 묻다 , 기 전한련을 시작하며 가장 큰 고민은 코로나 로 인해 축소되었던 전한련의 행사와 업무를 어떻게 다시 활성화할 것인가였다 전한련에서 주최하는 가장 큰 행사인 행림제 를 개최하자는 의견도 있었지만 예산 등의 ,0,1
75, 오늘의 인 모바일로 방한 외국인 체류 경험 개선할 것 ,이는 코로나 이전 대비 에 근접한 수준이다 정부는 올해 총 만명의 외국인 관광객 유치를 목표하고 게다가 년 이후부턴 외국인 관광객 급감과 시장 축소 등 코로나 팬데믹 위기도 견뎌내야 했다 장 대표는 ,0,0
76,지역책임의료기관 없는 중진료권 곳,지역 인구감소와 지방소멸이 진행되는 와중에 년 코로나 전담병원으로 지정되어 팬데믹 기간 년 동안 감염병에 대응하였다 이후 의료인력의 소진과 유출로 인해 지역 책임의료기관 기능을 수행하기에는 역량이 ,0,0
77,하동군 청소년 문화교류단 중국 장자제시 방문,하승철 군수는 코로나 로 중단된 교류가 재개된 것에 큰 의미를 둔다 면서 청소년들이 이를 통해 다양한 문화와 세계를 경험할 수 있기를 기대한다 고 말했다 내년 상반기에는 장자제시 청소년들이 하동군을 방문해 ,0,1
78,한국불교문화사업단 년 한국전통사찰순례 차 회향식, 년 해인사에서 순례를 시작해 코로나 사태로 년 만에 순례를 마친 일본인 회향자 후타바 가즈고 씨는 순례를 통해 맺은 인연에 감사를 전하고 순례에 재참여하고 싶다는 소감을 밝혀 박수를 받았습니다 사업단 ,1,1
79,하동군 청소년 문화교류단 자매도시 중국 장자제시 방문,군 관계자는 코로나 로 중단된 교류를 다시 이어나가게 돼서 기쁘다 며 이번 교류를 통해 청소년들이 다양한 문화를 경험하고 세계관을 넓힐 수 있길 바란다 라고 말했다 한편 장자제시의 민족중학교 ,0,0
80,서학개미 규모 역대 최대,이는 코로나 팬데믹 이후로 해외 주식 투자가 급증한 데 이어 작년 하반기부터 본격화된 해외채권 투자 년엔 에 그쳤지만 코로나 팬데믹을 거치면서 년 년 년 순으로 커졌다 ,1,0
81, 과학을 읽다 손정의 젠슨황이 삼성에 주는 교훈, 코로나 사태의 와중에는 대규모로 투자한 위워크 우버의 추락으로 대규모 적자 사태에 시달렸다 위기를 해결하고자 시대에 엔비디아와 함께 반도체 분야의 핵심으로 부상한 을 매각하려고까지 했다 하지만 지금 ,1,0
82,안산시 찾은 옌타이산업기술연구원 대표단 인재교류 방점,중국 옌타이시 산업기술연구원 대표단이 코로나 펜데믹 이후 처음으로 경기 안산시를 방문 년간의 우호를 재확인했다 중국 산둥성 북동부에 위치한 옌타이시는 인구 약 만명의 항구도시다 앞서 년 월 ,1,0
83,내수 부진에 판매직 만 명 급감 팬데믹 수준 감소, 스카이데일리 내수 부진의 영향으로 판매직의 고용 환경이 코로나 팬데믹 수준으로 다시 악화한 코로나 기간인 년 만 명 과 년 만 명 과 견줄 수 있는 수준의 감소 폭이기도 하다 년 ,0,1
84,김성은 목사의 천하보다 귀한 생명 탈북민 구출과 복음 통일의 비 ,복음이 한반도를 변화시키는 핵심입니다 코로나 이후의 도전과 하나님의 섭리 코로나 팬데믹은 김 목사의 사역에 새로운 도전을 가져왔다 중국 정부는 반간첩법을 시행하며 탈북민을 돕는 사람들을 간첩으로 ,1,1
85,이민근 안산시장 옌타이시 대표단 접견 과학기술 등 정책 협력,양 도시 간의 이번 대면 만남은 코로나 팬데믹 이후 처음으로 이루어졌다 앞서 양 도시는 년부터 총 차례의 청소년 국제문화교류사업을 추진 양 도시 청소년들의 글로벌 비전 향상을 위한 현지 청소년 교류 및 역사 ,1,0
86, 인터뷰 미망 김태양 감독 우연과 필연의 순간 들 ,기획했는데 코로나 팬데믹이 겹치면서 단편으로 공개하게 된 케이스다 독립영화이다 보니 한 번에 제작비를 마련하기 어려워 파트별로 구성하게 됐다 막과 막을 공개하면서 제작지원을 받자는 전략이었다 코로나 로 ,1,0
87,선진국 약사는 일차보건의료의 중요 일원 한국약사는 뭘하지 ,특히 코로나 팬데믹은 예방과 건강 관리 중심으로 의료 패러다임을 변화시키며 약사가 지역사회와 일차보건의료에서 수행할 수 있는 역할을 새롭게 조명하는 계기가 되었다 년 보고서에 따르면 ,1,1
88,코엑스 푸드위크 노터치로 스마트하게 로봇이 요리 서빙 트렌드 공 ,푸드위크 사무국은 코로나 팬데믹을 기점으로 외식 소비 패턴이 달라진 점에 주목하며 향후 푸드테크가 터치 를 통한 편의성 확보의 측면과 노터치 를 통한 효율성 증대의 측면으로 발전할 것이라 ,0,0
89,한약으로 코로나 후유증 잡는다,만성 코로나 증후군에 대한 한약의 후유증 완화 효능을 확인했다고 일 밝혔다 이번 연구는 만성 코로나 증후군으로 인한 피로와 인지기능 저하에 대한 한약의 치료 효과와 안전성을 평가하는 데 중점을 뒀다 연구 ,1,0
90, 코로나 환자에 항생제 오남용 많아 내성 위험 커져,신종 코로나 바이러스 감염증 코로나 입원환자 중 항생제가 필요한 사례는 임에도 전체 환자의 가 항생제를 사용한 것으로 드러났다 일 질병관리청에 따르면 세계보건기구 는 지난 월 코로나 팬데믹의 ,0,0
